Initial cost=,14.586
Generation,BestCost,MeanCost
656,4.23529,4.70429
657,4.23529,4.70708
658,4.23529,4.70477
659,4.23529,4.71145
660,4.23529,4.71128
661,4.23529,4.71631
662,4.23529,4.71604
663,4.23529,4.70931
664,4.16735,4.71367
665,4.23529,4.70966
666,4.23529,4.70366
667,4.23529,4.69607
668,4.23529,4.69023
669,4.23529,4.68851
670,4.23529,4.69345
671,4.16735,4.68848
672,4.23529,4.68919
673,4.23529,4.68795
674,4.23529,4.69013
675,4.21202,4.69002
676,4.21202,4.68392
677,4.21202,4.68223
678,4.21202,4.68767
679,4.21202,4.68311
680,4.21202,4.69001
681,4.21202,4.69141
682,4.21202,4.69249
683,4.21202,4.68765
684,4.21202,4.68839
685,4.21202,4.68994
686,4.21202,4.69156
687,4.21202,4.68997
688,4.21202,4.6893
689,4.21202,4.69025
690,4.23529,4.68451
691,4.23529,4.69013
692,4.23529,4.68305
693,4.23529,4.6851
694,4.23529,4.68469
695,4.23529,4.68694
696,4.23529,4.6906
697,4.22338,4.69185
698,4.23529,4.69472
699,4.22338,4.69236
700,4.22338,4.69351
701,4.22338,4.69755
702,4.22338,4.70024
703,4.22338,4.70433
704,4.22338,4.70219
705,4.22338,4.70282
706,4.22338,4.69711
707,4.22338,4.69459
708,4.22338,4.69272
709,4.22338,4.68981
710,4.22338,4.68863
711,4.22338,4.68461
712,4.22338,4.68683
713,4.22338,4.67917
714,4.16735,4.67743
715,4.23529,4.68521
716,4.23529,4.68808
717,4.22338,4.69254
718,4.22338,4.68841
719,4.23529,4.6943
720,4.23529,4.69027
721,4.23529,4.69437
722,4.23529,4.68732
723,4.23529,4.68304
724,4.23529,4.67959
725,4.16735,4.67864
726,4.16735,4.67852
727,4.16735,4.67456
728,4.16735,4.67091
729,4.16735,4.67826
730,4.16735,4.67887
731,4.16735,4.67018
732,4.16735,4.66906
733,4.16735,4.66831
734,4.16735,4.66813
735,4.23529,4.6695
736,4.16735,4.66885
737,4.16735,4.66908
738,4.22632,4.67327
739,4.16735,4.66804
740,4.16735,4.66854
741,4.16735,4.6656
742,4.16735,4.65802
743,4.16735,4.65733
744,4.16735,4.65765
745,4.16735,4.65469
746,4.16735,4.65737
747,4.16735,4.65787
748,4.16735,4.64803
749,4.16735,4.64639
750,4.16735,4.64789
751,4.16735,4.64624
752,4.16735,4.64512
753,4.16735,4.64644
754,4.22338,4.64964
755,4.19186,4.65274
756,4.19186,4.64074
757,4.16735,4.64012
758,4.21202,4.64268
759,4.21202,4.64384
760,4.21202,4.64072
761,4.21202,4.63946
762,4.21202,4.64106
763,4.21202,4.6441
764,4.21202,4.64918
765,4.16735,4.64234
766,4.16735,4.64325
767,4.21202,4.64467
768,4.21202,4.64186
769,4.21202,4.6427
770,4.21202,4.64616
771,4.21202,4.64472
772,4.16735,4.64481
773,4.21202,4.64406
774,4.22338,4.64832
775,4.22338,4.65569
776,4.22338,4.65522
777,4.22338,4.6532
778,4.22338,4.65715
779,4.22338,4.65479
780,4.22338,4.65492
781,4.22338,4.65149
782,4.22338,4.65104
783,4.22338,4.64974
784,4.22338,4.64767
785,4.22338,4.64934
786,4.22338,4.64689
787,4.22338,4.64514
788,4.21202,4.64385
789,4.22338,4.63827
790,4.21202,4.64017
791,4.21202,4.64655
792,4.16735,4.64659
793,4.16735,4.63929
794,4.16735,4.63628
795,4.16735,4.63772
796,4.16735,4.63362
797,4.16735,4.62845
798,4.16735,4.63503
799,4.16735,4.63654
800,4.16735,4.63659
801,4.16735,4.6338
802,4.16735,4.62785
803,4.16735,4.63143
804,4.16735,4.63567
805,4.16735,4.64428
806,4.16735,4.64847
807,4.16735,4.63869
808,4.16735,4.63887
809,4.16735,4.63345
810,4.16735,4.62431
811,4.16735,4.62441
812,4.16735,4.62356
813,4.16735,4.62562
814,4.16735,4.62967
815,4.16735,4.6348
816,4.16735,4.63033
817,4.16735,4.63093
818,4.16735,4.63233
819,4.16735,4.63963
820,4.16735,4.64342
821,4.16735,4.64025
822,4.16735,4.63801
823,4.16735,4.62692
824,4.16735,4.62455
825,4.16735,4.61879
826,4.16735,4.619
827,4.16735,4.62045
828,4.16735,4.62903
829,4.16735,4.62613
830,4.1595,4.62398
831,4.16735,4.62176
832,4.16735,4.62557
833,4.16735,4.62846
834,4.16735,4.62246
835,4.16735,4.61671
836,4.16735,4.62072
837,4.16735,4.62007
838,4.16735,4.61749
839,4.16735,4.61883
840,4.16735,4.61553
841,4.16735,4.61209
842,4.16735,4.60325
843,4.16735,4.60424
844,4.16735,4.60445
845,4.16735,4.59983
846,4.16735,4.59772
847,4.16735,4.59679
848,4.16735,4.59787
849,4.16735,4.59649
850,4.16735,4.59294
851,4.16735,4.58996
852,4.16735,4.59735
853,4.16735,4.59147
854,4.16735,4.59495
855,4.16735,4.59009
856,4.16735,4.59461
857,4.16735,4.59772
858,4.16735,4.59843
859,4.16735,4.59571
860,4.16735,4.59272
861,4.16735,4.59282
862,4.16735,4.58497
863,4.16735,4.59363
864,4.16735,4.59206
865,4.16735,4.58525
866,4.16735,4.58776
867,4.16735,4.58728
868,4.16735,4.5899
869,4.16735,4.59014
870,4.1595,4.59534
871,4.1595,4.5964
872,4.1595,4.59342
873,4.1595,4.59698
874,4.1595,4.59665
875,4.1595,4.59554
876,4.1595,4.59366
877,4.1595,4.59316
878,4.16735,4.59209
879,4.16735,4.58782
880,4.1595,4.589
881,4.16735,4.58815
882,4.16735,4.59401
883,4.16735,4.59729
884,4.16735,4.59559
885,4.16735,4.59774
